"number_of_elements","mean_atomic_mass","wtd_mean_atomic_mass","gmean_atomic_mass","wtd_gmean_atomic_mass","entropy_atomic_mass","wtd_entropy_atomic_mass","range_atomic_mass","wtd_range_atomic_mass","std_atomic_mass","wtd_std_atomic_mass","mean_fie","wtd_mean_fie","gmean_fie","wtd_gmean_fie","entropy_fie","wtd_entropy_fie","range_fie","wtd_range_fie","std_fie","wtd_std_fie","mean_atomic_radius","wtd_mean_atomic_radius","gmean_atomic_radius","wtd_gmean_atomic_radius","entropy_atomic_radius","wtd_entropy_atomic_radius","range_atomic_radius","wtd_range_atomic_radius","std_atomic_radius","wtd_std_atomic_radius","mean_Density","wtd_mean_Density","gmean_Density","wtd_gmean_Density","entropy_Density","wtd_entropy_Density","range_Density","wtd_range_Density","std_Density","wtd_std_Density","mean_ElectronAffinity","wtd_mean_ElectronAffinity","gmean_ElectronAffinity","wtd_gmean_ElectronAffinity","entropy_ElectronAffinity","wtd_entropy_ElectronAffinity","range_ElectronAffinity","wtd_range_ElectronAffinity","std_ElectronAffinity","wtd_std_ElectronAffinity","mean_FusionHeat","wtd_mean_FusionHeat","gmean_FusionHeat","wtd_gmean_FusionHeat","entropy_FusionHeat","wtd_entropy_FusionHeat","range_FusionHeat","wtd_range_FusionHeat","std_FusionHeat","wtd_std_FusionHeat","mean_ThermalConductivity","wtd_mean_ThermalConductivity","gmean_ThermalConductivity","wtd_gmean_ThermalConductivity","entropy_ThermalConductivity","wtd_entropy_ThermalConductivity","range_ThermalConductivity","wtd_range_ThermalConductivity","std_ThermalConductivity","wtd_std_ThermalConductivity","mean_Valence","wtd_mean_Valence","gmean_Valence","wtd_gmean_Valence","entropy_Valence","wtd_entropy_Valence","range_Valence","wtd_range_Valence","std_Valence","wtd_std_Valence","critical_temp"
6,92.5180083333333,55.0252126923077,70.6149277465561,35.9002983328281,1.59097984197322,1.42498494100318,141.2506,20.6647923076923,54.7480031022169,50.4095540129007,711.8,1001.41692307692,670.248157806516,934.078626395289,1.72482664416665,0.917718506305613,810.6,703.003076923077,279.756137853429,345.018116612059,186.666666666667,115.811538461538,164.284804076956,90.1889069625133,1.69941705044197,1.45357758435607,205,37.0230769230769,72.1171885814255,81.0147129416488,4760.40483333333,3133.25023076923,1241.0945419997,67.9298915059234,1.47459381722165,0.95639234830565,8958.571,2066.92284615385,3305.32091176991,3817.46350476018,64.12,110.188884615385,37.3377370080858,87.3158691326695,1.44497104538333,0.802589852094707,138.63,76.6861153846154,50.9447298550105,48.1705066395379,7.79366666666667,5.10192307692308,4.89219248786386,1.31733903035229,1.6066672262527,1.11128663871334,12.878,2.97,3.91052944696182,5.51564683369801,107.00443,98.1335430769231,13.2752360168784,1.09768357771343,0.907381978392945,0.287341358108253,399.97342,92.29338,148.275819825052,166.770951940927,2.5,2.07307692307692,2.40187391035201,2.05828127025817,1.74897075077131,1.27767822400062,2,1.05384615384615,0.763762615825973,0.288307651260156,74.2
6,97.4467833333333,50.90709,70.8306741952508,33.5966056135549,1.53560010015191,1.64530557665715,188.3839,11.4872438461538,68.7053517361983,52.3244971756028,731.4,998.800769230769,694.703098779055,933.312817925499,1.73401675077467,1.00994194058686,764.1,697.776923076923,267.328268863084,344.304641827588,164,108.730769230769,147.363109237638,87.5797068986484,1.71196416049815,1.63900015357249,174,26.9076923076923,59.3997755326847,69.2345832282747,5260.23816666667,2853.00023076923,1263.23815351004,60.4824733581566,1.40749336474992,1.2186618441772,11848.571,1446.61515384615,4226.26250607833,4044.39393744635,57.5,99.5264615384615,27.7868485957919,59.0254792229217,1.31069862117967,0.678698405778656,138.63,76.4330769230769,54.7465642757607,58.5527227358983,6.96033333333333,4.40953846153846,4.31173462978146,1.20781017598371,1.57539386064847,1.3572819585953,12.878,1.99769230769231,3.9758320582685,4.99090869813665,120.00443,88.6450815384615,22.6076753379395,1.26591481313765,1.16339575741815,0.848029598551849,399.97342,64.6010723076923,140.508375425777,146.303227971379,2.33333333333333,2.08461538461538,2.28942848510666,2.06980782878224,1.77213938843753,1.40480685561701,1,1.03076923076923,0.471404520791032,0.278308500232701,68.55
5,62.54385,52.2298206349206,38.6420400295019,35.6238924194139,1.27938148889313,1.28946751391764,130.386,21.7814103174603,48.0552632423754,44.4842541187713,739.18,993.26246031746,690.770034864017,926.79202636041,1.53620021815168,0.919799119633404,810.6,686.576428571429,299.61330678059,343.812131048123,165,116.703174603175,144.197064258927,91.5135074334224,1.50605873333263,1.35604774989955,205,39.7611111111111,69.3483957997588,79.6031674975072,3495.6858,3026.08582539683,640.177765654808,74.4369249565177,1.12117969382665,0.819245255780624,8958.571,2111.25147619048,3218.31058104816,3648.257617412,74.01,107.971111111111,54.9633033148404,85.0433677542859,1.37075410543601,0.787289085346016,127.05,74.497380952381,49.4651028503934,49.91009733737,7.1444,5.38588888888889,3.80319043931996,1.4103770278752,1.30709045710082,1.05087251153175,12.878,3.08071428571429,4.8868604891075,5.65361736598681,104.005316,98.7083673015873,12.2560652385245,1.2291580778537,0.726650773966385,0.218936514934621,399.97342,94.2717914285714,150.832670151527,167.518690805915,2,2.07698412698413,1.8881750225898,2.06200044337139,1.55711309805765,1.22494875756506,2,1.0452380952381,0.632455532033676,0.275353365584159,41
4,76.4445625,52.3645944444444,59.3566724745425,35.8122041839511,1.1995407452483,1.28688754976196,121.3276,14.7419166666667,43.8233541228786,44.4325565125412,794,993.798412698413,741.629348855485,927.586202935778,1.31500430814302,0.912811426010187,810.6,638.973015873016,311.743492313793,343.248798419642,164.5,116.650793650794,139.000513752081,91.4827335506048,1.25670056650299,1.3375002625211,205,23.3333333333333,77.5258021564434,79.5772877245282,4235.85725,3046.14534920635,669.556587809389,74.9380866891216,1.01540712310099,0.812686916051098,8958.571,2132.58480952381,3194.93894591629,3657.65536317355,77.2375,108.111111111111,53.5279646494387,85.1799813240349,1.10518217403612,0.779556781259404,127.05,72.1904761904762,54.8307552268797,49.8608694781252,8.1805,5.40993650793651,4.03556899860879,1.41533547524349,1.11209819664271,1.03932149275381,12.878,3.0027619047619,4.9481552875794,5.66488676773039,108.756645,99.4583673015873,7.55238461047956,1.23369915129023,0.336261915781173,0.203074901927539,399.97342,95.2241723809524,168.301046773239,168.159557320942,2.25,2.07936507936508,2.21336383940064,2.06540627632548,1.36892236074022,1.21803294983305,1,0.80952380952381,0.433012701892219,0.27030772009407,58.2
2,39.367591,15.7578284444444,25.0670374313759,11.3124663253037,0.355743607417383,0.693007015168617,60.710818,0.263828444444444,30.355409,19.0795693774144,738.75,863.233333333333,721.204242915972,855.889216591544,0.669491497072599,0.265094738424478,320.1,734.633333333333,160.05,100.597724736806,124,114.666666666667,123.417988964332,114.442413977802,0.688457221789363,0.389762013400383,24,84.4444444444444,12,7.54247233265651,3876,2298.66666666667,3303.11852648372,2102.57425630115,0.549217105507192,0.59796561013468,4056,986.666666666667,2028,1274.67782421895,15.95,4.71111111111111,6.75277720645365,2.09550786461965,0.189651371612354,0.595781968530691,28.9,2.04444444444444,14.45,9.08239376724054,6.77,7.68777777777778,6.66637082676924,7.64490500047999,0.677879356984854,0.280699515511384,2.36,6.44555555555556,1.18,0.741676446044557,109.5,172.111111111111,74.2293742395825,154.186880829886,0.390961443149377,0.0930218371199692,161,165.666666666667,80.5,50.5974185649041,2.5,2.11111111111111,2.44948974278318,2.09216383728643,0.673011667009257,0.436162325385344,1,1.44444444444444,0.5,0.314269680527354,5.7
4,95.45068,54.7842346666667,69.2726955434274,35.9638618522679,1.16176283437156,1.3411777148003,148.93092,9.77725333333333,58.973428446235,50.398384669879,783.65,1004.25333333333,728.828770624619,939.895207351217,1.31032924491217,0.877045138159057,810.6,662.053333333333,318.123234769169,338.680775690357,168,113.066666666667,141.24059875603,89.2038145107314,1.25366237079374,1.33268376874445,205,23.6,79.8717722352522,77.4015216617578,5316.60725,3444.4288,792.904348559951,74.5228284331922,1.0273100853899,0.828184728983889,8958.571,2388.5712,3771.22249539293,4042.74902314656,82.3375,113.466666666667,60.7214928257155,94.5577920831499,1.1640132003214,0.803975849377208,127.05,73.94,51.12571973821,44.6940923264909,9.5805,5.81173333333333,4.45954750545227,1.41830355536004,1.08438195120407,1.0152262369438,16.778,3.37493333333333,6.27525622982839,6.30973114553139,108.506645,110.147509333333,7.43878255508962,1.26266938738392,0.329500146289958,0.160529466995562,399.97342,106.652490666667,168.437846600662,174.912720800388,2.25,2.06666666666667,2.21336383940064,2.05479931812743,1.36892236074022,1.18114958513808,1,0.866666666666667,0.433012701892219,0.249443825784929,79.2
1,192.217,192.217,192.217,192.217,0,0,0,0,0,0,868.1,868.1,868.1,868.1,0,0,0,0,0,0,180,180,180,180,0,0,0,0,0,0,22560,22560,22560,22560,0,0,0,0,0,0,152.5,152.5,152.5,152.5,0,0,0,0,0,0,26,26,26,26,0,0,0,0,0,0,150,150,150,150,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0.113
2,82.9435043,64.2895157333333,61.2199583514735,46.5890931424114,0.444038338674203,0.592756765261366,111.9239314,28.3141309333333,55.9619657,52.7614472466653,559.15,565.166666666667,558.85858676413,564.906700780819,0.692626053996656,0.62621867785184,36.1,204.433333333333,18.05,17.0177032005563,156.5,143.666666666667,151.69047432189,139.508137909911,0.662574757291338,0.688615700530721,77,13.6666666666667,38.5,36.2981481009094,4423,3848.66666666667,4073.59791830269,3551.73069086737,0.615224752826314,0.691058427396545,3446,248.666666666667,1723,1624.4599786459,46.75,45.8333333333333,46.6690475583121,45.7618441071419,0.691416077617118,0.653418194793702,5.5,12.8333333333333,2.75,2.59272486435067,8.5,9.23333333333333,8.2103593100424,8.96814665497376,0.659268007343847,0.536160629012816,4.4,5.03333333333333,2.2,2.07417989148054,124,161,55.2720544217419,89.5419110222136,0.205578191846928,0.123849556017109,222,152.333333333333,111,104.651803615609,3,3,3,3,0.693147180559945,0.636514168294813,0,1,0,0,3.24
3,161.784166666667,176.1493125,155.537983182884,172.184854644891,1.06279758832335,0.768318536237282,89.3115,110.4746925,41.6414063449938,32.5669227430777,802.466666666667,811.22,800.023644827187,809.950343358587,1.09560302279146,0.851456273847573,148.6,430.5485,61.8914282343596,44.3984830821955,179.333333333333,182.195,179.265525635954,182.138866027543,1.09823494185724,0.848157620685562,12,95.405,4.92160768674447,4.47403341516355,19200,20911.95,18512.9186417109,20470.4678456106,1.06531253895967,0.769153173230781,10140,13081.05,4772.98648646736,3761.58619434674,123.766666666667,115.6025,122.197494330133,114.593777508634,1.08549783478732,0.91851599951205,44.9,53.744,20.370621547273,16.4541801299852,26.2333333333333,28.6405,25.9576232764977,28.392183510143,1.08811088882291,0.777338802012003,9.3,17.1895,3.80029238641216,3.58170486640092,129,107.79,125.093263731039,104.132912349454,1.07024744612584,1.00812988853501,63,33.54,29.698484809835,29.623401222682,6,6,6,6,1.09861228866811,0.862917205296988,0,3.03,0,0,0.35
4,76.5177175,56.0761675,59.3100961333418,35.5387223749798,1.19727303349869,1.04829403664024,122.90607,31.5970817857143,44.2894585275144,51.7346999879263,787.05,1011.65357142857,734.219624171273,940.489063682958,1.31300802421591,0.804001738739379,772,730.735714285714,314.505965762178,353.670986614621,151.75,104.714285714286,131.302196551623,84.2504207860572,1.27527399052522,1.22115995562567,171,40.9285714285714,65.5796271718588,67.6328624385561,4434.35725,2911.24514285714,674.484751445268,52.7830753934661,0.995982779568411,0.811663100919864,8958.571,1535.68342857143,3402.85619588643,3561.4342655633,79.6075,111.165357142857,48.4772646848066,95.605056391008,1.09667176877521,0.773520720351958,135.97,81.1953571428571,54.3730969207199,43.7451243391064,6.9055,3.859,3.47947484936327,1.04276381011884,1.08857534188499,1.02171494552375,12.878,1.74457142857143,4.59906411675245,4.67549033333862,112.006645,61.6580457142857,8.33981834610162,0.638410001542362,0.403693221013522,0.30668395959769,399.97342,57.1276685714286,166.742351106334,138.352552052899,2.25,2.25,2.21336383940064,2.21336383940064,1.36892236074022,1.08185938073531,1,1.07142857142857,0.433012701892219,0.433012701892219,18
